question_number,bucket,bucket_name,model,notes
52,1,Basic concepts,gpt-4.1,
53,3,CA laws & ethics,gpt-4.1,
54,3,CA laws & ethics,gpt-4.1,
55,1,Basic concepts,gpt-4.1,
56,1,Basic concepts,gpt-4.1,
57,2,Contract law,gpt-4.1,
58,3,CA laws & ethics,gpt-4.1,
59,3,CA laws & ethics,gpt-4.1,
60,2,Contract law,gpt-4.1,
61,1,Basic concepts,gpt-4.1,
62,3,CA laws & ethics,gpt-4.1,
63,6,Valuation & government programs,gpt-4.1,
64,3,CA laws & ethics,gpt-4.1,
65,5,Residential property,gpt-4.1,
66,2,Contract law,gpt-4.1,
67,5,Residential property,gpt-4.1,
68,2,Contract law,gpt-4.1,
69,3,CA laws & ethics,gpt-4.1,
70,1,Basic concepts,gpt-4.1,
71,1,Basic concepts,gpt-4.1,
72,2,Contract law,gpt-4.1,
73,3,CA laws & ethics,gpt-4.1,
74,8,Commercial insurance,gpt-4.1,
75,3,CA laws & ethics,gpt-4.1,
76,3,CA laws & ethics,gpt-4.1,
77,2,Contract law,gpt-4.1,
78,3,CA laws & ethics,gpt-4.1,
79,1,Basic concepts,gpt-4.1,
80,3,CA laws & ethics,gpt-4.1,
81,3,CA laws & ethics,gpt-4.1,
82,3,CA laws & ethics,gpt-4.1,
83,3,CA laws & ethics,gpt-4.1,
84,1,Basic concepts,gpt-4.1,
85,3,CA laws & ethics,gpt-4.1,
86,3,CA laws & ethics,gpt-4.1,
87,2,Contract law,gpt-4.1,
88,3,CA laws & ethics,gpt-4.1,
89,2,Contract law,gpt-4.1,
90,1,Basic concepts,gpt-4.1,
91,3,CA laws & ethics,gpt-4.1,
92,1,Basic concepts,gpt-4.1,
93,3,CA laws & ethics,gpt-4.1,
94,3,CA laws & ethics,gpt-4.1,
95,3,CA laws & ethics,gpt-4.1,
96,1,Basic concepts,gpt-4.1,
97,8,Commercial insurance,gpt-4.1,
98,1,Basic concepts,gpt-4.1,
99,1,Basic concepts,gpt-4.1,
100,1,Basic concepts,gpt-4.1,
101,7,Personal liability & inland marine,gpt-4.1,
102,1,Basic concepts,gpt-4.1,
103,5,Residential property,gpt-4.1,
104,5,Residential property,gpt-4.1,
105,2,Contract law,gpt-4.1,
106,5,Residential property,gpt-4.1,
107,4,Tort & property fundamentals,gpt-4.1,
108,7,Personal liability & inland marine,gpt-4.1,
109,7,Personal liability & inland marine,gpt-4.1,
110,1,Basic concepts,gpt-4.1,
111,1,Basic concepts,gpt-4.1,
112,5,Residential property,gpt-4.1,
113,4,Tort & property fundamentals,gpt-4.1,
114,7,Personal liability & inland marine,gpt-4.1,
115,5,Residential property,gpt-4.1,
116,1,Basic concepts,gpt-4.1,
117,5,Residential property,gpt-4.1,
118,5,Residential property,gpt-4.1,
119,5,Residential property,gpt-4.1,
120,7,Personal liability & inland marine,gpt-4.1,
121,8,Commercial insurance,gpt-4.1,
122,8,Commercial insurance,gpt-4.1,
123,5,Residential property,gpt-4.1,
124,8,Commercial insurance,gpt-4.1,
125,8,Commercial insurance,gpt-4.1,
126,5,Residential property,gpt-4.1,
127,8,Commercial insurance,gpt-4.1,
128,2,Contract law,gpt-4.1,
129,1,Basic concepts,gpt-4.1,
130,2,Contract law,gpt-4.1,
131,5,Residential property,gpt-4.1,
132,8,Commercial insurance,gpt-4.1,
133,5,Residential property,gpt-4.1,
134,5,Residential property,gpt-4.1,
135,2,Contract law,gpt-4.1,
136,2,Contract law,gpt-4.1,
137,2,Contract law,gpt-4.1,
138,5,Residential property,gpt-4.1,
139,1,Basic concepts,gpt-4.1,
140,2,Contract law,gpt-4.1,
141,8,Commercial insurance,gpt-4.1,
142,5,Residential property,gpt-4.1,
143,8,Commercial insurance,gpt-4.1,
144,8,Commercial insurance,gpt-4.1,
145,3,CA laws & ethics,gpt-4.1,
146,8,Commercial insurance,gpt-4.1,
147,5,Residential property,gpt-4.1,
148,8,Commercial insurance,gpt-4.1,
149,8,Commercial insurance,gpt-4.1,
150,8,Commercial insurance,gpt-4.1,
