model,bucket,bucket_name,n,correct,accuracy
llama3.1_8b_reasoned,5,Residential property,24,14,0.58333
llama3.1_8b_reasoned,6,Valuation & government programs,2,2,1.0
llama3.1_8b_reasoned,7,Personal liability & inland marine,8,6,0.75
llama3.1_8b_reasoned,8,Commercial insurance,24,20,0.83333
mistral_7b_reasoned,1,Basic concepts,27,19,0.7037
mistral_7b_reasoned,2,Contract law,26,18,0.69231
mistral_7b_reasoned,3,CA laws & ethics,37,28,0.75676
mistral_7b_reasoned,4,Tort & property fundamentals,2,1,0.5
mistral_7b_reasoned,5,Residential property,24,13,0.54167
mistral_7b_reasoned,6,Valuation & government programs,2,2,1.0
mistral_7b_reasoned,7,Personal liability & inland marine,8,6,0.75
mistral_7b_reasoned,8,Commercial insurance,24,16,0.66667
phi3_mini_reasoned,1,Basic concepts,27,20,0.74074
phi3_mini_reasoned,2,Contract law,26,19,0.73077
phi3_mini_reasoned,3,CA laws & ethics,37,23,0.62162
phi3_mini_reasoned,4,Tort & property fundamentals,2,2,1.0
phi3_mini_reasoned,5,Residential property,24,15,0.625
phi3_mini_reasoned,6,Valuation & government programs,2,2,1.0
phi3_mini_reasoned,7,Personal liability & inland marine,8,6,0.75
phi3_mini_reasoned,8,Commercial insurance,24,13,0.54167
qwen2.5_7b_reasoned,1,Basic concepts,27,22,0.81481
qwen2.5_7b_reasoned,2,Contract law,26,22,0.84615
qwen2.5_7b_reasoned,3,CA laws & ethics,37,32,0.86486
qwen2.5_7b_reasoned,4,Tort & property fundamentals,2,2,1.0
qwen2.5_7b_reasoned,5,Residential property,24,14,0.58333
qwen2.5_7b_reasoned,6,Valuation & government programs,2,2,1.0
qwen2.5_7b_reasoned,7,Personal liability & inland marine,8,5,0.625
qwen2.5_7b_reasoned,8,Commercial insurance,24,19,0.79167
tinyllama_reasoned,1,Basic concepts,27,6,0.22222
tinyllama_reasoned,2,Contract law,26,5,0.19231
tinyllama_reasoned,3,CA laws & ethics,37,11,0.2973
tinyllama_reasoned,4,Tort & property fundamentals,2,1,0.5
tinyllama_reasoned,5,Residential property,24,9,0.375
tinyllama_reasoned,6,Valuation & government programs,2,1,0.5
tinyllama_reasoned,7,Personal liability & inland marine,8,0,0.0
tinyllama_reasoned,8,Commercial insurance,24,3,0.125
