question_number,bucket,bucket_name,model,notes
55,8,Commercial insurance,gpt-4.1,
56,4,Tort & property fundamentals,gpt-4.1,
57,5,Residential property,gpt-4.1,
58,2,Contract law,gpt-4.1,
59,1,Basic concepts,gpt-4.1,
60,5,Residential property,gpt-4.1,
61,3,CA laws & ethics,gpt-4.1,
62,5,Residential property,gpt-4.1,
63,1,Basic concepts,gpt-4.1,
64,5,Residential property,gpt-4.1,
65,3,CA laws & ethics,gpt-4.1,
66,5,Residential property,gpt-4.1,
67,7,Personal liability & inland marine,gpt-4.1,
68,3,CA laws & ethics,gpt-4.1,
69,1,Basic concepts,gpt-4.1,
70,8,Commercial insurance,gpt-4.1,
71,1,Basic concepts,gpt-4.1,
72,5,Residential property,gpt-4.1,
73,3,CA laws & ethics,gpt-4.1,
74,5,Residential property,gpt-4.1,
75,3,CA laws & ethics,gpt-4.1,
76,3,CA laws & ethics,gpt-4.1,
77,1,Basic concepts,gpt-4.1,
78,7,Personal liability & inland marine,gpt-4.1,
79,7,Personal liability & inland marine,gpt-4.1,
80,5,Residential property,gpt-4.1,
81,3,CA laws & ethics,gpt-4.1,
82,5,Residential property,gpt-4.1,
83,8,Commercial insurance,gpt-4.1,
84,8,Commercial insurance,gpt-4.1,
85,8,Commercial insurance,gpt-4.1,
86,5,Residential property,gpt-4.1,
87,1,Basic concepts,gpt-4.1,
88,8,Commercial insurance,gpt-4.1,
89,5,Residential property,gpt-4.1,
90,2,Contract law,gpt-4.1,
91,5,Residential property,gpt-4.1,
92,5,Residential property,gpt-4.1,
93,7,Personal liability & inland marine,gpt-4.1,
94,8,Commercial insurance,gpt-4.1,
95,7,Personal liability & inland marine,gpt-4.1,
96,5,Residential property,gpt-4.1,
97,3,CA laws & ethics,gpt-4.1,
98,2,Contract law,gpt-4.1,
99,5,Residential property,gpt-4.1,
100,5,Residential property,gpt-4.1,
101,8,Commercial insurance,gpt-4.1,
102,8,Commercial insurance,gpt-4.1,
103,3,CA laws & ethics,gpt-4.1,
104,3,CA laws & ethics,gpt-4.1,
105,3,CA laws & ethics,gpt-4.1,
106,7,Personal liability & inland marine,gpt-4.1,
107,3,CA laws & ethics,gpt-4.1,
108,5,Residential property,gpt-4.1,
109,5,Residential property,gpt-4.1,
110,5,Residential property,gpt-4.1,
111,1,Basic concepts,gpt-4.1,
112,3,CA laws & ethics,gpt-4.1,
113,5,Residential property,gpt-4.1,
114,2,Contract law,gpt-4.1,
115,2,Contract law,gpt-4.1,
116,3,CA laws & ethics,gpt-4.1,
117,8,Commercial insurance,gpt-4.1,
118,8,Commercial insurance,gpt-4.1,
119,6,Valuation & government programs,gpt-4.1,
120,5,Residential property,gpt-4.1,
121,8,Commercial insurance,gpt-4.1,
122,8,Commercial insurance,gpt-4.1,
123,7,Personal liability & inland marine,gpt-4.1,
124,8,Commercial insurance,gpt-4.1,
125,3,CA laws & ethics,gpt-4.1,
126,5,Residential property,gpt-4.1,
127,6,Valuation & government programs,gpt-4.1,
128,5,Residential property,gpt-4.1,
129,5,Residential property,gpt-4.1,
130,5,Residential property,gpt-4.1,
131,3,CA laws & ethics,gpt-4.1,
132,6,Valuation & government programs,gpt-4.1,
133,8,Commercial insurance,gpt-4.1,
134,3,CA laws & ethics,gpt-4.1,
135,3,CA laws & ethics,gpt-4.1,
136,5,Residential property,gpt-4.1,
137,5,Residential property,gpt-4.1,
138,3,CA laws & ethics,gpt-4.1,
139,8,Commercial insurance,gpt-4.1,
140,8,Commercial insurance,gpt-4.1,
141,8,Commercial insurance,gpt-4.1,
142,3,CA laws & ethics,gpt-4.1,
143,3,CA laws & ethics,gpt-4.1,
144,5,Residential property,gpt-4.1,
145,5,Residential property,gpt-4.1,
146,5,Residential property,gpt-4.1,
147,4,Tort & property fundamentals,gpt-4.1,
148,5,Residential property,gpt-4.1,
149,5,Residential property,gpt-4.1,
150,1,Basic concepts,gpt-4.1,
151,7,Personal liability & inland marine,gpt-4.1,
152,8,Commercial insurance,gpt-4.1,
153,8,Commercial insurance,gpt-4.1,
154,2,Contract law,gpt-4.1,
155,5,Residential property,gpt-4.1,
156,3,CA laws & ethics,gpt-4.1,
157,5,Residential property,gpt-4.1,
158,7,Personal liability & inland marine,gpt-4.1,
159,5,Residential property,gpt-4.1,
160,8,Commercial insurance,gpt-4.1,
161,3,CA laws & ethics,gpt-4.1,
162,3,CA laws & ethics,gpt-4.1,
163,7,Personal liability & inland marine,gpt-4.1,
164,3,CA laws & ethics,gpt-4.1,
165,7,Personal liability & inland marine,gpt-4.1,
166,5,Residential property,gpt-4.1,
167,8,Commercial insurance,gpt-4.1,
168,5,Residential property,gpt-4.1,
169,5,Residential property,gpt-4.1,
170,5,Residential property,gpt-4.1,
171,7,Personal liability & inland marine,gpt-4.1,
172,5,Residential property,gpt-4.1,
173,1,Basic concepts,gpt-4.1,
174,3,CA laws & ethics,gpt-4.1,
175,5,Residential property,gpt-4.1,
176,4,Tort & property fundamentals,gpt-4.1,
177,8,Commercial insurance,gpt-4.1,
178,7,Personal liability & inland marine,gpt-4.1,
179,7,Personal liability & inland marine,gpt-4.1,
180,8,Commercial insurance,gpt-4.1,
181,3,CA laws & ethics,gpt-4.1,
182,8,Commercial insurance,gpt-4.1,
183,7,Personal liability & inland marine,gpt-4.1,
184,5,Residential property,gpt-4.1,
185,5,Residential property,gpt-4.1,
186,5,Residential property,gpt-4.1,
187,5,Residential property,gpt-4.1,
188,7,Personal liability & inland marine,gpt-4.1,
189,2,Contract law,gpt-4.1,
190,1,Basic concepts,gpt-4.1,
191,1,Basic concepts,gpt-4.1,
192,5,Residential property,gpt-4.1,
193,8,Commercial insurance,gpt-4.1,
194,5,Residential property,gpt-4.1,
195,5,Residential property,gpt-4.1,
196,8,Commercial insurance,gpt-4.1,
197,3,CA laws & ethics,gpt-4.1,
198,8,Commercial insurance,gpt-4.1,
199,5,Residential property,gpt-4.1,
200,6,Valuation & government programs,gpt-4.1,
201,3,CA laws & ethics,gpt-4.1,
202,2,Contract law,gpt-4.1,
203,7,Personal liability & inland marine,gpt-4.1,
204,4,Tort & property fundamentals,gpt-4.1,
205,1,Basic concepts,gpt-4.1,
206,4,Tort & property fundamentals,gpt-4.1,
207,4,Tort & property fundamentals,gpt-4.1,
208,5,Residential property,gpt-4.1,
209,7,Personal liability & inland marine,gpt-4.1,
210,4,Tort & property fundamentals,gpt-4.1,
211,5,Residential property,gpt-4.1,
212,8,Commercial insurance,gpt-4.1,
213,8,Commercial insurance,gpt-4.1,
214,5,Residential property,gpt-4.1,
215,7,Personal liability & inland marine,gpt-4.1,
216,8,Commercial insurance,gpt-4.1,
217,1,Basic concepts,gpt-4.1,
218,8,Commercial insurance,gpt-4.1,
219,1,Basic concepts,gpt-4.1,
220,3,CA laws & ethics,gpt-4.1,
221,5,Residential property,gpt-4.1,
222,2,Contract law,gpt-4.1,
223,5,Residential property,gpt-4.1,
224,4,Tort & property fundamentals,gpt-4.1,
225,3,CA laws & ethics,gpt-4.1,
226,1,Basic concepts,gpt-4.1,
227,1,Basic concepts,gpt-4.1,
228,5,Residential property,gpt-4.1,
229,4,Tort & property fundamentals,gpt-4.1,
230,5,Residential property,gpt-4.1,
231,7,Personal liability & inland marine,gpt-4.1,
232,1,Basic concepts,gpt-4.1,
233,8,Commercial insurance,gpt-4.1,
234,7,Personal liability & inland marine,gpt-4.1,
235,8,Commercial insurance,gpt-4.1,
236,7,Personal liability & inland marine,gpt-4.1,
237,8,Commercial insurance,gpt-4.1,
238,3,CA laws & ethics,gpt-4.1,
239,7,Personal liability & inland marine,gpt-4.1,
240,8,Commercial insurance,gpt-4.1,
241,7,Personal liability & inland marine,gpt-4.1,
242,8,Commercial insurance,gpt-4.1,
243,5,Residential property,gpt-4.1,
244,8,Commercial insurance,gpt-4.1,
245,5,Residential property,gpt-4.1,
246,8,Commercial insurance,gpt-4.1,
247,6,Valuation & government programs,gpt-4.1,
248,5,Residential property,gpt-4.1,
249,8,Commercial insurance,gpt-4.1,
250,1,Basic concepts,gpt-4.1,
251,2,Contract law,gpt-4.1,
252,4,Tort & property fundamentals,gpt-4.1,
253,5,Residential property,gpt-4.1,
254,5,Residential property,gpt-4.1,
255,4,Tort & property fundamentals,gpt-4.1,
256,8,Commercial insurance,gpt-4.1,
257,6,Valuation & government programs,gpt-4.1,
258,8,Commercial insurance,gpt-4.1,
259,7,Personal liability & inland marine,gpt-4.1,
260,3,CA laws & ethics,gpt-4.1,
261,3,CA laws & ethics,gpt-4.1,
262,1,Basic concepts,gpt-4.1,
263,7,Personal liability & inland marine,gpt-4.1,
264,8,Commercial insurance,gpt-4.1,
265,8,Commercial insurance,gpt-4.1,
266,8,Commercial insurance,gpt-4.1,
267,8,Commercial insurance,gpt-4.1,
268,5,Residential property,gpt-4.1,
269,8,Commercial insurance,gpt-4.1,
270,5,Residential property,gpt-4.1,
271,6,Valuation & government programs,gpt-4.1,
272,8,Commercial insurance,gpt-4.1,
273,5,Residential property,gpt-4.1,
274,4,Tort & property fundamentals,gpt-4.1,
275,1,Basic concepts,gpt-4.1,
276,4,Tort & property fundamentals,gpt-4.1,
277,1,Basic concepts,gpt-4.1,
278,7,Personal liability & inland marine,gpt-4.1,
279,6,Valuation & government programs,gpt-4.1,
280,7,Personal liability & inland marine,gpt-4.1,
281,4,Tort & property fundamentals,gpt-4.1,
282,2,Contract law,gpt-4.1,
283,7,Personal liability & inland marine,gpt-4.1,
284,3,CA laws & ethics,gpt-4.1,
285,5,Residential property,gpt-4.1,
286,6,Valuation & government programs,gpt-4.1,
287,3,CA laws & ethics,gpt-4.1,
288,1,Basic concepts,gpt-4.1,
289,5,Residential property,gpt-4.1,
290,8,Commercial insurance,gpt-4.1,
291,4,Tort & property fundamentals,gpt-4.1,
292,7,Personal liability & inland marine,gpt-4.1,
293,5,Residential property,gpt-4.1,
294,3,CA laws & ethics,gpt-4.1,
295,5,Residential property,gpt-4.1,
296,7,Personal liability & inland marine,gpt-4.1,
297,8,Commercial insurance,gpt-4.1,
298,5,Residential property,gpt-4.1,
299,3,CA laws & ethics,gpt-4.1,
300,6,Valuation & government programs,gpt-4.1,
301,5,Residential property,gpt-4.1,
302,3,CA laws & ethics,gpt-4.1,
303,7,Personal liability & inland marine,gpt-4.1,
304,3,CA laws & ethics,gpt-4.1,
305,8,Commercial insurance,gpt-4.1,
306,8,Commercial insurance,gpt-4.1,
307,8,Commercial insurance,gpt-4.1,
308,5,Residential property,gpt-4.1,
309,8,Commercial insurance,gpt-4.1,
310,5,Residential property,gpt-4.1,
311,6,Valuation & government programs,gpt-4.1,
312,3,CA laws & ethics,gpt-4.1,
313,3,CA laws & ethics,gpt-4.1,
314,3,CA laws & ethics,gpt-4.1,
315,4,Tort & property fundamentals,gpt-4.1,
316,6,Valuation & government programs,gpt-4.1,
317,8,Commercial insurance,gpt-4.1,
318,8,Commercial insurance,gpt-4.1,
319,5,Residential property,gpt-4.1,
320,3,CA laws & ethics,gpt-4.1,
321,8,Commercial insurance,gpt-4.1,
322,8,Commercial insurance,gpt-4.1,
323,5,Residential property,gpt-4.1,
324,5,Residential property,gpt-4.1,
325,2,Contract law,gpt-4.1,
326,7,Personal liability & inland marine,gpt-4.1,
327,8,Commercial insurance,gpt-4.1,
328,3,CA laws & ethics,gpt-4.1,
329,7,Personal liability & inland marine,gpt-4.1,
330,1,Basic concepts,gpt-4.1,
331,5,Residential property,gpt-4.1,
332,8,Commercial insurance,gpt-4.1,
333,5,Residential property,gpt-4.1,
334,5,Residential property,gpt-4.1,
335,4,Tort & property fundamentals,gpt-4.1,
336,7,Personal liability & inland marine,gpt-4.1,
337,8,Commercial insurance,gpt-4.1,
338,1,Basic concepts,gpt-4.1,
339,5,Residential property,gpt-4.1,
340,1,Basic concepts,gpt-4.1,
341,3,CA laws & ethics,gpt-4.1,
342,3,CA laws & ethics,gpt-4.1,
343,1,Basic concepts,gpt-4.1,
344,1,Basic concepts,gpt-4.1,
345,5,Residential property,gpt-4.1,
346,7,Personal liability & inland marine,gpt-4.1,
347,8,Commercial insurance,gpt-4.1,
348,8,Commercial insurance,gpt-4.1,
349,5,Residential property,gpt-4.1,
350,5,Residential property,gpt-4.1,
351,5,Residential property,gpt-4.1,
352,1,Basic concepts,gpt-4.1,
353,3,CA laws & ethics,gpt-4.1,
354,8,Commercial insurance,gpt-4.1,
355,5,Residential property,gpt-4.1,
356,1,Basic concepts,gpt-4.1,
357,5,Residential property,gpt-4.1,
358,7,Personal liability & inland marine,gpt-4.1,
359,8,Commercial insurance,gpt-4.1,
360,5,Residential property,gpt-4.1,
361,1,Basic concepts,gpt-4.1,
362,3,CA laws & ethics,gpt-4.1,
363,4,Tort & property fundamentals,gpt-4.1,
364,1,Basic concepts,gpt-4.1,
365,5,Residential property,gpt-4.1,
366,3,CA laws & ethics,gpt-4.1,
367,7,Personal liability & inland marine,gpt-4.1,
368,5,Residential property,gpt-4.1,
369,5,Residential property,gpt-4.1,
370,3,CA laws & ethics,gpt-4.1,
371,5,Residential property,gpt-4.1,
372,8,Commercial insurance,gpt-4.1,
373,5,Residential property,gpt-4.1,
374,5,Residential property,gpt-4.1,
375,6,Valuation & government programs,gpt-4.1,
376,5,Residential property,gpt-4.1,
377,3,CA laws & ethics,gpt-4.1,
378,5,Residential property,gpt-4.1,
379,3,CA laws & ethics,gpt-4.1,
380,8,Commercial insurance,gpt-4.1,
381,1,Basic concepts,gpt-4.1,
382,1,Basic concepts,gpt-4.1,
383,5,Residential property,gpt-4.1,
384,8,Commercial insurance,gpt-4.1,
385,5,Residential property,gpt-4.1,
386,2,Contract law,gpt-4.1,
387,7,Personal liability & inland marine,gpt-4.1,
388,3,CA laws & ethics,gpt-4.1,
389,7,Personal liability & inland marine,gpt-4.1,
390,2,Contract law,gpt-4.1,
391,3,CA laws & ethics,gpt-4.1,
392,2,Contract law,gpt-4.1,
393,8,Commercial insurance,gpt-4.1,
394,3,CA laws & ethics,gpt-4.1,
395,5,Residential property,gpt-4.1,
396,7,Personal liability & inland marine,gpt-4.1,
397,8,Commercial insurance,gpt-4.1,
398,3,CA laws & ethics,gpt-4.1,
399,8,Commercial insurance,gpt-4.1,
400,5,Residential property,gpt-4.1,
401,7,Personal liability & inland marine,gpt-4.1,
402,8,Commercial insurance,gpt-4.1,
403,7,Personal liability & inland marine,gpt-4.1,
404,5,Residential property,gpt-4.1,
405,5,Residential property,gpt-4.1,
406,5,Residential property,gpt-4.1,
407,8,Commercial insurance,gpt-4.1,
408,2,Contract law,gpt-4.1,
409,8,Commercial insurance,gpt-4.1,
410,5,Residential property,gpt-4.1,
411,5,Residential property,gpt-4.1,
412,7,Personal liability & inland marine,gpt-4.1,
413,7,Personal liability & inland marine,gpt-4.1,
414,3,CA laws & ethics,gpt-4.1,
415,3,CA laws & ethics,gpt-4.1,
416,8,Commercial insurance,gpt-4.1,
417,5,Residential property,gpt-4.1,
418,3,CA laws & ethics,gpt-4.1,
419,5,Residential property,gpt-4.1,
420,1,Basic concepts,gpt-4.1,
421,5,Residential property,gpt-4.1,
422,1,Basic concepts,gpt-4.1,
423,1,Basic concepts,gpt-4.1,
424,5,Residential property,gpt-4.1,
425,7,Personal liability & inland marine,gpt-4.1,
426,3,CA laws & ethics,gpt-4.1,
427,5,Residential property,gpt-4.1,
428,8,Commercial insurance,gpt-4.1,
429,1,Basic concepts,gpt-4.1,
430,5,Residential property,gpt-4.1,
431,3,CA laws & ethics,gpt-4.1,
432,8,Commercial insurance,gpt-4.1,
433,5,Residential property,gpt-4.1,
434,5,Residential property,gpt-4.1,
435,2,Contract law,gpt-4.1,
436,8,Commercial insurance,gpt-4.1,
437,5,Residential property,gpt-4.1,
438,7,Personal liability & inland marine,gpt-4.1,
439,3,CA laws & ethics,gpt-4.1,
440,1,Basic concepts,gpt-4.1,
441,8,Commercial insurance,gpt-4.1,
442,3,CA laws & ethics,gpt-4.1,
443,3,CA laws & ethics,gpt-4.1,
444,8,Commercial insurance,gpt-4.1,
445,5,Residential property,gpt-4.1,
446,1,Basic concepts,gpt-4.1,
447,7,Personal liability & inland marine,gpt-4.1,
448,6,Valuation & government programs,gpt-4.1,
449,5,Residential property,gpt-4.1,
450,2,Contract law,gpt-4.1,
451,3,CA laws & ethics,gpt-4.1,
452,5,Residential property,gpt-4.1,
453,7,Personal liability & inland marine,gpt-4.1,
454,7,Personal liability & inland marine,gpt-4.1,
455,8,Commercial insurance,gpt-4.1,
456,5,Residential property,gpt-4.1,
457,5,Residential property,gpt-4.1,
458,4,Tort & property fundamentals,gpt-4.1,
459,1,Basic concepts,gpt-4.1,
460,5,Residential property,gpt-4.1,
461,6,Valuation & government programs,gpt-4.1,
462,5,Residential property,gpt-4.1,
463,2,Contract law,gpt-4.1,
464,7,Personal liability & inland marine,gpt-4.1,
465,5,Residential property,gpt-4.1,
466,3,CA laws & ethics,gpt-4.1,
467,3,CA laws & ethics,gpt-4.1,
468,1,Basic concepts,gpt-4.1,
469,1,Basic concepts,gpt-4.1,
470,2,Contract law,gpt-4.1,
471,8,Commercial insurance,gpt-4.1,
472,8,Commercial insurance,gpt-4.1,
473,7,Personal liability & inland marine,gpt-4.1,
474,2,Contract law,gpt-4.1,
475,8,Commercial insurance,gpt-4.1,
476,8,Commercial insurance,gpt-4.1,
477,7,Personal liability & inland marine,gpt-4.1,
478,3,CA laws & ethics,gpt-4.1,
479,8,Commercial insurance,gpt-4.1,
480,8,Commercial insurance,gpt-4.1,
481,6,Valuation & government programs,gpt-4.1,
482,3,CA laws & ethics,gpt-4.1,
483,7,Personal liability & inland marine,gpt-4.1,
484,2,Contract law,gpt-4.1,
485,1,Basic concepts,gpt-4.1,
486,5,Residential property,gpt-4.1,
487,1,Basic concepts,gpt-4.1,
488,5,Residential property,gpt-4.1,
489,6,Valuation & government programs,gpt-4.1,
490,3,CA laws & ethics,gpt-4.1,
491,7,Personal liability & inland marine,gpt-4.1,
492,5,Residential property,gpt-4.1,
493,7,Personal liability & inland marine,gpt-4.1,
494,7,Personal liability & inland marine,gpt-4.1,
495,8,Commercial insurance,gpt-4.1,
496,8,Commercial insurance,gpt-4.1,
497,6,Valuation & government programs,gpt-4.1,
498,5,Residential property,gpt-4.1,
499,7,Personal liability & inland marine,gpt-4.1,
500,5,Residential property,gpt-4.1,
501,2,Contract law,gpt-4.1,
502,5,Residential property,gpt-4.1,
503,8,Commercial insurance,gpt-4.1,
504,3,CA laws & ethics,gpt-4.1,
505,5,Residential property,gpt-4.1,
506,7,Personal liability & inland marine,gpt-4.1,
507,4,Tort & property fundamentals,gpt-4.1,
508,3,CA laws & ethics,gpt-4.1,
509,7,Personal liability & inland marine,gpt-4.1,
510,3,CA laws & ethics,gpt-4.1,
511,8,Commercial insurance,gpt-4.1,
512,2,Contract law,gpt-4.1,
513,8,Commercial insurance,gpt-4.1,
514,3,CA laws & ethics,gpt-4.1,
515,7,Personal liability & inland marine,gpt-4.1,
516,7,Personal liability & inland marine,gpt-4.1,
517,5,Residential property,gpt-4.1,
518,3,CA laws & ethics,gpt-4.1,
519,8,Commercial insurance,gpt-4.1,
520,3,CA laws & ethics,gpt-4.1,
521,3,CA laws & ethics,gpt-4.1,
522,7,Personal liability & inland marine,gpt-4.1,
523,5,Residential property,gpt-4.1,
524,5,Residential property,gpt-4.1,
525,7,Personal liability & inland marine,gpt-4.1,
526,5,Residential property,gpt-4.1,
527,5,Residential property,gpt-4.1,
528,5,Residential property,gpt-4.1,
529,5,Residential property,gpt-4.1,
530,5,Residential property,gpt-4.1,
531,5,Residential property,gpt-4.1,
532,5,Residential property,gpt-4.1,
533,7,Personal liability & inland marine,gpt-4.1,
534,5,Residential property,gpt-4.1,
535,5,Residential property,gpt-4.1,
536,1,Basic concepts,gpt-4.1,
537,5,Residential property,gpt-4.1,
538,3,CA laws & ethics,gpt-4.1,
539,4,Tort & property fundamentals,gpt-4.1,
540,8,Commercial insurance,gpt-4.1,
541,8,Commercial insurance,gpt-4.1,
542,3,CA laws & ethics,gpt-4.1,
543,5,Residential property,gpt-4.1,
544,5,Residential property,gpt-4.1,
545,8,Commercial insurance,gpt-4.1,
546,5,Residential property,gpt-4.1,
547,5,Residential property,gpt-4.1,
548,5,Residential property,gpt-4.1,
549,5,Residential property,gpt-4.1,
550,5,Residential property,gpt-4.1,
551,5,Residential property,gpt-4.1,
552,5,Residential property,gpt-4.1,
