question_number,question,option_A,option_B,option_C,option_D,answer,explanation
12,Which homeowners policy is not designed for owner-occupied dwellings?,HO-3,HO-8,HO-4,HO-5,C,"HO-4 policies are designed for those renting a dwelling. HO-3, HO-5, and HO-8 policy forms are intended for owner-occupied dwellings."
13,Another name for compensatory damages is:,Punitive,General,Broad,Actual,D,Compensatory (or Actual) damages reimburse a party for a loss sustained in order to make the party whole. Punitive damages are damages exceeding simple compensation and serve to punish the defendant. General damages are damages which exceed simple compensation and awarded to punish the defendant. Broad damages are not a particular type of legal damage.
14,"Rex has a personal auto policy with bodily injury liability limits of $100,000 per person, $300,000 per accident, and property damage limit of $100,000. His personal umbrella policy has a limit of $1,000,000 and requires underlying auto limits to be $250,000 per person, $500,000 per accident for bodily injury, and $100,000 for property damage. Rex is found negligent in a car accident. The jury awards the plaintiff a total of $950,000 in damages, of which $150,000 were for the claimant's",,,,,,
15,Jeff Smith has a personal auto policy. Select the coverage that would apply when a deer leaps in front of his car and causes damage.,Comprehensive/other than collision,Collision Types of Policies,Medical payments,Liability,A,"Comprehensive, also known as 'other than collision,' is the part of the policy that responds to damage from birds or animals. The collision portion of the policy responds to collisions that are not bird or animal-related. Medical payments pay for a medical expense, not physical damage to the auto. Likewise, liability pays for damage to another party, not the insured vehicle."
16,A hazard where a party protected from risk intentionally acts in a risky way for personal gain:,Moral hazard,Legal hazard,Morale hazard,Physical hazard,A,"Moral hazard is an insured's tendency to intentionally engage in risky behavior for personal gain because they are covered by insurance and feel that they will not be held pesonally responsible if things go wrong. Legal hazards could cause a loss due to legal issues. Morale hazard relates to a person's attitude about their belongings and involves indifference to unintentional risk. Physical hazards are conditions, behaviors, or actions that contribute to a loss."
17,All of the following are basic perils covered under all Homeowners' policies except:,Fire or smoke,Vandalism,Riots and civil commotion,Falling objects,D,"Falling objects are not a covered peril under a basic HO-1 policy form. A,B, and C are listed perils covered under the HO-1 policy form."
18,Which of the following statements about DP-3 policies is false?,It covers the structure for open perils.,It covers loss of rents.,"It covers other structures such as a fence, shed, or detached garage.",It pays for losses to the structure at actual cash value.,A,"A DP-3 policy covers the structure for replacement cost. It's an all-risk policy that covers loss of rents and other structures. A DP-2 also pays for losses to the structure at replacement cost, and a DP-1 pays for losses to the structure for actual cash value."
19,"A homeowner owns a 100-year-old log cabin in the woods with no electricity, heating, air conditioning, or plumbing. The home is in reasonably good condition and it is owner-occupied. The owner gets water from an outdoor pump and uses an outhouse. The home has a wood-burning stove for heat. What type of homeowner policy is appropriate for this home?",HO-3,HO-5,HO-6,HO-8,D,"The HO-8 is a modified coverage form. The home described would cost more to replace than the value of the home. Due to its outdated construction and lack of modern utilities, this home wouldn't qualify for a standard HO-3 or HO-5 policy which are standard homeowner policies. An HO-6 is a condo-owner policy."
20,A driver swerved to avoid hitting a car that was backing out of a parking lot and hit a telephone pole. The driver and one of the passengers took an ambulance to the emergency room to be treated for minor injuries. What part of a personal auto insurance policy would respond to the loss concerning injuries?,Medical payments or personal injury protection (PIP),Bodily injury,Comprehensive,Collision,A,"Depending on which state the driver was insured in, injuries for the driver and passenger are covered under medical payments or PIP on their own policy. These coverages pay regardless of fault. Bodily injury refers to liability coverage for others if an insured causes an accident. Comprehensive auto insurance covers the insured's vehicle for non-collision events such as hitting an animal, hail damage, falling objects, glass breakage, etc. Collision covers the insured's vehicle for damage due to a collision."
21,A cyber liability insurance policy covers all of the following except:,Legal defense expenses,Loss of sales,Forensic investigations,Crisis management expenses,,"A cyber liability insurance policy generally covers most costs connected with a data breach or other cybercrime. It covers legal defense costs, the costs to investigate a cyberattack, and crisis management costs to manage the negative effects such as notifying affected individuals, making provisions to monitor their credit, and setting up a call center, etc. Individual policies may differ slightly, but none of them cover the loss of income due to a system shutdown a cyberattack, or data breach."
22,A sudden hailstorm severely damaged ten cars in an employer's parking lot. Which type of insurance would respond to the loss?,The employer's commercial auto policy,Each car owner's personal auto policy,The employer's commercial general liability policy,Nothing. Hail damage isn't covered for autos.,B,"The comprehensive portion of each car owner's policy would cover the loss. However, if a car owner didn't purchase comprehensive insurance, there would be no coverage for the loss. A commercial auto policy wouldn't cover the loss because the company doesn't own the cars. Commercial general liability covers bodily injury and property damage caused by the company, so it wouldn't cover in this situation. Hail damage may be covered under the comprehensive portion of a personal auto policy provided the insured purchased the coverage."
23,"George's rental home is covered under a basic dwelling form DP-1 policy. The weight of snow and ice causes $15,000 of damage to his roof, $10,000 of damage to his interior walls, and $2,000 of damage to the tenants' contents. George has a $1,000 deductible. What is the total dollar amount of damage covered under his policy?","$15,000","$10,000","$27,000",This is not a covered peril under DP-1.,D,Weight of snow or ice is not a covered peril under a basic form DP-1.
24,"Jenny's Flower Shop has an unendorsed Business Owners Policy (BOP), and an unendorsed commercial auto policy in force. Deb, one of Jenny's employees, takes her personal vehicle to the bank to make a deposit for Jenny's Flowers. En route, Deb hits a pedestrian in the bank parking lot while the pedestrian is getting out of her car, causing permanent bodily injury to the pedestrian. Which policy will respond to the loss?",The pedestrian's personal auto policy,Jenny's Business Owners Policy,Jenny's commercial auto policy,The bank's commercial liability policy,A,"The medical or no-fault section of the pedestrian's personal auto policy will respond. Because Jenny's BOP and commercial auto policy were not endorsed to extend coverage to non-owned auto exposures, neither will respond. The bank had no contributing factors that led to the accident, and is therefore not negligent. If it were winter in Fargo, ND, for example, and the bank parking lot was covered in ice and contributed to the accident, the bank may be found negligent."
25,"The ABC Construction Company is transporting a crane to a building under construction in the city. While en route, the boom hits a utility pole, knocking out power to a popular steakhouse restaurant and causing it to close and suffer a loss of income. Which one of ABC's insurance policies will respond to the loss?",Commercial Auto,Commercial Inland Marine,Commercial General Liability,Contractors Bond,C,"The property damage section of a commercial general liability policy will respond to the loss. Property damage means physical injury to tangible property, including the loss of use of property. Commercial inland marine policies respond to the theft of scheduled equipment. Commercial property responds to property losses at the business location only. Commercial Auto responds to commercial auto only."
26,"Under an HO-3 homeowners policy coverage, C - personal property is covered in which countries?",North America,United States,"United States, Canada, and Mexico",Worldwide,D,"Policy Provisions and Contract Law Personal property is covered worldwide. For example, if your personal property is stolen while on vacation in Italy, it is covered as if it were stolen from your home in the United States."
27,"Hank's Excavating Company has a bulldozer worth $200,000 which is stolen off the back of one of the company's flatbed trailers parked overnight at a job site. Which one of Hank's insurance policies will respond to the loss?",Commercial Inland Marine,Commercial Property,Commercial General,Commercial Auto,A,"Commercial inland marine policies respond to the theft of scheduled equipment. Commercial property responds to property losses at the business location only. Commercial General Liability does not respond to property losses. Commercial Auto responds to commercial auto, not equipment."
28,"What is a statement of fact given to an insurer by the insured concerning the insured's risk, which, if untrue, voids the policy?",Warranty,Waiver of subrogation,Representation,Estoppel,A,Warranty. Waiver of subrogation is giving up a right to recovery. Representation is a statement made on an application that the application is accurate to the best of the insured's knowledge.
29,"A policy provision that holds that an insurance company agrees to pay for losses according to the policy, defend the insured in a liability lawsuit, and provide certain other services is called:",Insuring agreement,Limitations,Insurable interest,Rider,A,"Insurance policies are legal contracts. The insuring agreement is an important part of the contract that describes the insurance company's responsibilities to the insured in exchange for the insured paying premiums. Conditions, exclusions, and additions modify the description further. Limitations refers to the maximum amount of money a policy will pay toward a certain type of coverage. Insurable interest refers to a third party that has an economic stake in insured property that would result in financial hardship if it was destroyed. A rider is an add-on to a policy that either adds a benefit or amends the terms of a policy."
30,All of the following are considered duties of the insured after a loss in an insurance contract except:,Cooperate with the insurance company,Notify the insurance company promptly,Protect the property from further damage,Notifying the police regardless of the cause of loss,A,"After a loss, insureds are required to notify the insurance company, cooperate with the adjuster, protect their property and keep accurate reports of property and receipts. Insureds must notify the police if the cause of loss is theft, but it's not necessary to notify them otherwise."
31,A married couple turned their passenger van into a camper van. They sold their home and decided to live in the van as their primary residence as they toured the country. What type of insurance is appropriate to insure their van and their personal property?,A homeowner's insurance policy,Their auto insurance policy,An RV insurance policy,A tenant policy,A,"Homeowners and auto insurance policies carry exclusions for using a vehicle as a primary residence. A tenant policy would not cover the vehicle. An RV insurance policy would cover liability, the vehicle and the contents."
32,What type of coverage does a business owner need to insure all drivers of fleet vehicles on their commercial auto policy?,Additional coverage is not needed as all drivers are automatically covered,Supplementary coverage,Blanket additional insureds endorsement,Contractual liability,C,A blanket additional insureds endorsement is a rider that provides the same coverage for all additional insureds. This is common coverage for commercial auto policies so that all new drivers are automatically covered. Additional coverage refers to coverage that extends beyond the basic coverage or increases the limits stated in the policy. Supplementary coverage is extra coverage an insured can purchase to enhance their policy. Contractual liability refers to coverage for liability an insured assumes as a result of entering into a contract.
33,A provision that states that the insurance company will pay to restore a pair or set of items to its original value before the loss took place is called:,Indemnification clause,A pair-and-set clause,Severability clause,Limit of liability clause,B,"A pair or set of items are worth less when one part is damaged or missing. A pair-and-set clause is designed to pay an insured for the value of the entire set when one part is damaged or missing and a replacement item cannot be found. If the insurance company replaces the whole set, they must generally surrender the undamaged item to the insurer. An indemnification clause refers to the insurance company promising to pay for losses as stated in the policy. A severability clause refers to the concept of an insurance company insuring each covered individual as if the company issued a separate policy to each of them. A limit of liability clause states a specific maximum limit the insurance company is required to pay for a covered loss."
34,"All of the following are excluded under a HO-3 homeowners' policy, except:",Theft,Earth movement,Neglect,War,A,"Theft is covered under an HO-3 policy. Earth movement, neglect, and war are all excluded."
35,"Joey did not pay his auto insurance premium and as a result, his coverage lapsed. This is an example of what policy provision?",Cancelation,Non-renewal,Punitive,Comprehensive,A,"Cancelation. The insurance company has the right to cancel for nonpayment of premium. Non- renewal is when the insurance carrier sends out advance warning that they will no longer offer coverage, effective on the next renewal date. Punitive and comprehensive do not apply to this scenario."
36,This form states that you own a specific item or items.,Loss cost,Policy record,Proof of loss,Supplementary,C,Proof of loss. Loss cost is a term used in determining a loss ratio. Policy record and supplementary do not apply.
37,Sam was stopped at a traffic light and was rear ended by another driver. The driver of the other vehicle was given a citation by police. Sam turned in a claim with his insurance company and they paid to repair Sam's car. The insurance company can recoup its claim cost by what policy provision?,Subrogation,Proof of loss,Declaration,Estoppel,A,"Subrogation. Proof of loss is a form filed with the insurance company after a loss. Declaration is the page of the policy with the insured's name, address, and coverage limits. Estoppel is when you go against what you previously stated."
38,A form that documents damaged or destroyed items is:,A list of Contents,Proof of loss,Conditions,Declarations,B,"Proof of loss. A list of contents is often used to determine the amount of coverage needed. Conditions lists general requirements that the insured must meet. Declarations lists name, address, and coverage amounts. Types of Policies, Bonds, and Related Items"
39,Which part of an insurance policy lists the name and address of the named insured on the policy?,Conditions,Exclusions,Insuring agreement,Declarations,D,"The declarations page lists the name and address of the named insured. Typically, states will declare the requirements that must be met for the coverage to be valid. The Exclusions section lists what is not covered under the policy. The Insuring Agreement is where the insurer agrees to certain conditions, like pay for claims."
40,An insurance policy is a contract between:,"The insured, the insurer, and the agent",The insured and the insurer,The insured and the agent,The insured and all third parties,B,Insurance contracts are between an insured and an insurer.
41,"Eric's bike shop has a business owner's policy (BOP). Eric runs an ad in the local newspaper indicating that Mike's Bikes sells inferior products. As a result, Mike's Bikes sues Eric's bike shop. Which of the following will provide coverage for any liability incurred by Eric's bike shop?",Loss of Income,Professional liability,Copyright coverage,Advertising injury,D,"Advertising injury liability provides coverage for insured expenses, such as defense costs as well as damages if an insured is found liable for libel or slander. Loss of income is property coverage, not liability coverage. Professional liability coverage covers professionals like doctors, lawyers, architects, and others for errors caused while performing their occupation. There is no copyright infringement in this scenario."
42,"When a covered automobile is damaged in an accident which causes it to be unusable for a period of time, a personal auto policy will provide coverage for transportation expenses at the rate of $20 per day for up to how much total?",$300,$500,$750,"$1,000",,A personal auto policy pays up to $20 per day for 15 days for the loss of use of a covered auto.
43,"If an insurer decides not to renew a Commercial General Liability policy, how many days' notice must they give the first named insured?",14 days,30 days,60 days,90 days,,"If an insurance company decides not to renew a Commercial General Liability policy, they must give the named insured notice of the decision at least 30 days before the termination of the policy."
44,This employer coverage pays wage and medical benefits to workers who become injured or ill while on the job. Each state mandates coverage and the wages and medical benefits differ from state to state.,Group medical,General liability,Workers' compensation,Loss of use,C,"Workers' compensation. Group medical does not respond to work related injuries or sickness, nor does it pay lost wages. General liability pays for damage to another party when the insured is negligent. Loss of use is paid when you cannot use your vehicle."
45,"A new insurance agent tells his client that he has bound coverage on his home. However, he did not follow through with binding coverage making it an ineligible risk. His home burns down. Where can the homeowner seek coverage?",The agent's professional liability policy,The agent's general liability policy,The agent's personal umbrella policy,The mortgage company who required home insurance,A,"The agent's professional liability policy, aka the ""errors and omissions policy."" General liability and personal liability policies do not respond to professional liability claims. The mortgage company has no negligence in this situation and is not responsible."
46,"Mr. Smith found out that an employee had been stealing money from the cash register. Fortunately, Mr. Smith had purchased a bond that protected his business from this type of criminal activity. What kind of bond did Mr. Smith purchase?",Surety bond,Fidelity bond,Agency bond,Convertible bond,B,"Fidelity means faithful or loyal. A fidelity bond protects business owners against dishonest acts by their employees. This includes fraud, embezzlement, misappropriation, wrongful conversion, larceny, willful misapplication, theft, and other acts of dishonesty. A surety bond is a contract between the surety, principal, and obligee to ensure that a contract will be fulfilled. An agency bond is a bond issued by a government body that finances activities that are related to public purposes. A convertible bond is fixed-income debt security that can be converted into equity shares or common stock and pays interest."
47,A farm owner's policy covers all of the following except:,The farmer's home,The farmer's personal property and liability,The farming operation's property and liability,Crops growing in the field,A,"In most cases, the farmer's home is located on the farm property. A farm owner's policy is designed to protect the farmer's property and liability for their home and their farming operations. The farmer's spouse and children would also be covered as insureds under a farm owner's policy. Farmers must purchase crop insurance to cover crops growing in fields."
48,A customer entered the garage of an auto mechanic shop to speak to a mechanic about their car. The customer slipped and fell on an oil spill and had to be taken to the emergency room for treatment. What type of commercial insurance would have covered this type of loss?,Garage liability,Garage keepers insurance,Medical payments,Commercial auto insurance,A,"Garage liability covers others for bodily injury due to an accident on company property. By contrast, garage keepers insurance covers someone else's autos or other property while it is in the care of the garage owner. Medical payments refers to coverage a business owner can add onto a commercial auto policy to cover the driver and passengers of a commercial vehicle."
49,What are the three parties to a bond?,"The obligee, surety and the principal","The shipper, the consignee and the carrier","The insured, the insurer and a third party","A contractor, subcontractor and the insurance company",A,"The obligee is the party who requires someone to get a surety bond. The principal is the person who is obligated to a creditor, and the surety is the person who is responsible for paying if the principal defaults on payment or agreed actions. A shipper ships goods, a carrier transports them, and a consignee is the final recipient of goods. The insured is the party being insured; the insurer is the insurance company; and a third party is anyone else. A contractor is a person hired to perform tasks for a construction project; a subcontractor is hired by a contractor; and the insurance company may insure them both."
50,A business owner learned that the government would be shutting down the road to his business for several weeks for road construction. The business was located on a dead-end street and customers would not be able to reach the business during the construction. What type of commercial insurance would protect the business?,Employment practices liability,Ordinance or law,Business interruption,Commercial general liability,,"Score My P ractice Test Testscom Video P & C  (P ro p e r ty  &  C a s u a lty )  In s u ra n c e  A g e n t P P & C  (P ro p e r ty  &  C a s u a lty )  In s u ra n c e  A g e n t P Watch on Robert Cherris, CPU, ASF, ARC, is an insurance agent from Michigan with over forty years of experience in the industry, He formerly was a faculty instructor at Florida Atlant... more Business interruption insurance is also known as business income insurance. It pays for losses where a business must temporarily close due to a covered loss. It may cover loss of revenue, mortgage/rent/lease payments, taxes, payroll, relocation, extra expenses, and training costs. Employment practices liability refers to insurance coverage that pays for losses where workers claim the company violated their rights. Ordinance or law coverage pays for the increased costs of repairing or rebuilding a building after a covered loss to meet the current building codes. Commercial general liability pays for losses due to bodily injury, property damage, and personal injury when caused by a business's products or operations or injuries that happen on company property. Property & Casualty Insurance Practice Test• Property & Casualty Insurance Test Guide• Property & Casualty Insurance Flash Cards• Property & Casualty Insurance Exam FAQs• Charles Siniari, is an instructor in Property & Casualty insurance at PeopleShare in Pennsylvania. Denise Jackson, is an insurance instructor in Property & Casualty insurance as well as other types of insurance at Dee's Prelicensing Bootcamp in Florida. ... more How do I study for a property and casualty insurance exam? Practice tests and flash cards are an effective way to study for a property and casualty insurance licensing exam.  They help you learn the subject matter and practice your test taking skills. Property and casualty insurance agent exams are taken on a computer, so practicing with online practice tests can boost your chance of success. What is on a property and casualty insurance exam? Insurance agents who wish to sell property and casualty insurance are required to possess the proper license for each state in which they conduct business. In order to obtain a P&C insurance license, individuals must take and successfully pass an exam that is offered by the state licensing boards.  State property and casualty insurance exams are typically 150 questions long and cover the following topics: General insurance Insurance regulation Homeowners insurance Commercial policies Automobile insurance Inland Marine policies Flood Insurance Professional Liability Workers Compensation Policy Provisions Contracts the country and is not specific to any one state but rather applicable to all states. Our exam is based on ISO standard policies. About Us Contact Sitemap Login Copyright © 2009-2025"
